variable_name,variable_number,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
build_p_tree_100,29,11181,30.641744604895603,17.39206043071376,27.69022022753366,29.131010026654177,16.29210917707148,0,99.01383108767014,99.01383108767014,0.8279937174247896,0.5607830781712164,0.16447909661935903
build_p_tree_200,30,11181,29.165530273891143,15.147239227146626,26.53682527230486,27.768469681968533,14.002937561979753,0,95.055492042287,95.055492042287,0.92088039601311,0.9202441768020764,0.14324951516145057
build_p_tree_300,31,11181,28.712398312872047,14.016660921031065,26.56134324936772,27.451787108100262,12.677380237556687,0,92.33869250509865,92.33869250509865,0.9204081961142603,1.0065369782897626,0.13255748133439807
build_p_grass_10,32,11181,29.683798789885312,19.252153820510955,28.81910369643441,28.94558113004662,21.304989690321474,0,97.50245821042282,97.50245821042282,0.3175055756692804,-0.5108438796197592,0.18207025446982242
build_p_grass_100,33,11181,16.976200410243226,9.25543222418327,16.32425963446256,16.539913818415354,9.322680450828043,0,76.05044814681636,76.05044814681636,0.5320204907162615,0.3932309025961218,0.08752988969420766
build_p_grass_200,34,11181,15.232396860012434,7.872100730443724,14.932310959350378,15.000537937109206,8.143192921538395,0,64.26253155427335,64.26253155427335,0.4157159299366065,0.48299420049810493,0.07444753436765987
build_p_grass_300,35,11181,14.293259764141274,7.399368099167419,14.083354083158792,14.118162345945537,7.810256350070274,0,60.0454194541884,60.0454194541884,0.3520655481226473,0.26643703117126405,0.06997683715242324
build_p_soil_10,36,11181,20.901652723354033,21.07860596163208,15.268329554043838,17.577797157430343,19.565381519115004,0,100,100,1.3449920973728584,1.679692614422823,0.19934326242577324
build_p_soil_100,37,11181,20.303121450057525,17.469356862546945,14.267441860465116,17.753983768379918,13.83113041242567,0,100,100,1.227305272594926,1.098511970466875,0.16521009955776708
build_p_soil_200,38,11181,23.54108950887264,17.008286616264986,19.56981804154003,21.59276737113806,17.427634720659317,0.21625481959372983,96.63692929976251,96.42067448016878,0.8978828668130503,0.23332586503949448,0.1608496951141051
build_p_soil_300,39,11181,25.26847296453491,16.07306502555057,22.70782983491386,23.81700494593231,17.656172073288385,0.620726137104555,96.24449951949825,95.6237733823937,0.7349634105789448,0.04957919727080107,0.15200517649065443
build_p_water_10,40,11181,0.006494700127745094,0.33374837223528475,0,0,0,0,21.0742830277386,21.0742830277386,56.44511487183615,3314.0582710120393,0.0031563040493177703
build_p_water_100,41,11181,0.11946923161124405,1.4516431953828925,0,0,0,0,42.629877239762465,42.629877239762465,17.49550117712703,372.23210227241725,0.013728388441461912
build_p_water_200,42,11181,0.2798006862485003,2.423923197606102,0,0,0,0,49.80490638880039,49.80490638880039,11.322949291591184,145.90081612877074,0.022923373536173824
build_p_water_300,43,11181,0.3997806016899072,3.020077912198156,0,0,0,0,50.39336927033787,50.39336927033787,9.782815124536397,104.66301424180965,0.02856129029089664
build_p_building_10,44,11181,3.7896426735648743,5.07149342994461,2.2363695723147243,2.6988550846493804,1.687735875209459,0,86.56338918748024,86.56338918748024,4.05202526483229,27.835540715831353,0.047961807699058855
build_p_building_100,45,11181,11.388056498566318,10.041317518978435,9.460374107802117,10.049514720224334,9.861494712440026,0,54.202153867811646,54.202153867811646,1.1136064952633924,1.0518424927137584,0.09496211452169709
build_p_building_200,46,11181,11.5883745015928,9.152011009276098,9.352077873006543,10.672105935490293,9.195876604335636,0,47.11023461605636,47.11023461605636,0.8211866612257721,0.011739257209192111,0.08655182110555625
build_p_building_300,47,11181,10.740802051459765,8.287933723454163,8.65826244038802,9.932744275945424,8.398582873008928,0,41.699116511932445,41.699116511932445,0.7733325863496084,-0.18849187631030473,0.0783801239137551
build_p_road_10,48,11181,1.2205260593865883,5.22834411570477,0,0.0054629019131634555,0,0,86.85121107266436,86.85121107266436,5.820868720298279,40.26205898007141,0.049445166108531634
build_p_road_100,49,11181,8.167226850581432,7.9502944022782325,6.629663295105112,7.061893762572877,8.860068160338763,0,53.926412680895886,53.926412680895886,1.1734255959300834,1.531453003593132,0.07518702262760049
build_p_road_200,50,11181,8.185665868324266,6.856827375604307,6.802475878390679,7.365109041475068,6.248812249542592,0,56.256300322831734,56.256300322831734,1.1778255588521207,1.775258807364117,0.06484595525108823
build_p_road_300,51,11181,7.985031009432841,6.15721726421451,6.700525333417956,7.302489046113798,5.622863813464052,0,51.26244695080667,51.26244695080667,1.165274478209866,1.8808572217434865,0.05822964664489507
build_p_otherpaved_10,52,11181,17.136035224368268,19.250298205337412,11.915708812260537,13.927169972438815,17.666229885057472,0,100,100,1.3783690535720974,1.885452446354229,0.18205270566307616
build_p_otherpaved_100,53,11181,11.17703534685934,10.071201242995322,9.054031937527764,9.691066082433798,7.593664286603071,0,89.95889105418131,89.95889105418131,2.064567833671973,6.766586409140894,0.09524472899106955
build_p_otherpaved_200,54,11181,9.195268436752665,7.517305092193344,7.845603612887582,8.14519864197306,5.642708487133241,0,72.16479478905045,72.16479478905045,2.082263862511696,7.267124470356329,0.07109218344208144
build_p_otherpaved_300,55,11181,8.329670429132818,6.433365028107637,7.250402760480341,7.478558942309417,5.014573751288098,0,59.89726454014524,59.89726454014524,1.9689802641694742,6.6447838183171815,0.060841213855090975
