var1,var2,value
build_p_shrub_100,build_Mean_slope_30m_DEM,0.4107376273343622
build_Mean_slope_30m_DEM,build_p_shrub_100,0.4107376273343622
build_p_building_300,build_p_road_200,0.40833512369852426
build_p_road_200,build_p_building_300,0.40833512369852426
parcel_Build_P,build_Mean_builddens,0.40750158052922125
build_Mean_builddens,parcel_Build_P,0.40750158052922125
build_p_building_300,build_p_grass_200,0.40732319144231793
build_p_grass_200,build_p_building_300,0.40732319144231793
build_perc_overhang,build_p_tree_200,0.4060021121349735
build_p_tree_200,build_perc_overhang,0.4060021121349735
build_p_building_300,build_p_road_100,0.3984963396629672
build_p_road_100,build_p_building_300,0.3984963396629672
build_p_grass_300,build_Mean_builddens,0.39471104771800325
build_Mean_builddens,build_p_grass_300,0.39471104771800325
build_overhang_ht,build_perc_overhang,0.39304771707613895
build_perc_overhang,build_overhang_ht,0.39304771707613895
build_p_soil_10,build_p_soil_300,0.3928179114933307
build_p_soil_300,build_p_soil_10,0.3928179114933307
build_p_otherpaved_10,build_p_otherpaved_300,0.39261683117963014
build_p_otherpaved_300,build_p_otherpaved_10,0.39261683117963014
build_p_building_100,build_Mean_builddens,0.3898656602865823
build_Mean_builddens,build_p_building_100,0.3898656602865823
build_p_shrub_10,build_p_shrub_100,0.38697745195488015
build_p_shrub_100,build_p_shrub_10,0.38697745195488015
ID_Build,build_p_building_300,0.3867441308856626
build_p_building_300,ID_Build,0.3867441308856626
build_p_shrub_200,build_p_soil_100,0.3861725979643354
build_p_soil_100,build_p_shrub_200,0.3861725979643354
parcel_Build_P,build_p_grass_300,0.3837815422139367
build_p_grass_300,parcel_Build_P,0.3837815422139367
build_p_soil_300,build_Mean_slope_30m_DEM,0.38046415104310644
build_Mean_slope_30m_DEM,build_p_soil_300,0.38046415104310644
build_p_building_10,build_p_building_100,0.3765041106562546
build_p_building_100,build_p_building_10,0.3765041106562546
build_perc_overhang,parcel_Can_P,0.37366639432046717
parcel_Can_P,build_perc_overhang,0.37366639432046717
build_Mean_distroad,build_Mean_elev_30m,0.3726550106078118
build_Mean_elev_30m,build_Mean_distroad,0.3726550106078118
build_p_shrub_300,build_p_soil_300,0.3718421366046182
build_p_soil_300,build_p_shrub_300,0.3718421366046182
build_Mean_distroad,build_Mean_elev_100m,0.3717568295148142
build_Mean_elev_100m,build_Mean_distroad,0.3717568295148142
build_perc_overhang,build_p_tree_300,0.3712796231980882
build_p_tree_300,build_perc_overhang,0.3712796231980882
build_overhang_ht,build_p_tree_200,0.36969327762442467
build_p_tree_200,build_overhang_ht,0.36969327762442467
build_overhang_ht,parcel_Can_P,0.3679446117134048
parcel_Can_P,build_overhang_ht,0.3679446117134048
parcel_Shrub_P,build_p_soil_100,0.36783373560989735
build_p_soil_100,parcel_Shrub_P,0.36783373560989735
build_p_building_200,build_p_grass_200,0.36554073884075566
build_p_grass_200,build_p_building_200,0.36554073884075566
parcel_Build_P,build_p_grass_10,0.36553523056780235
build_p_grass_10,parcel_Build_P,0.36553523056780235
ID_Build,build_p_building_200,0.36357064310566034
build_p_building_200,ID_Build,0.36357064310566034
build_has_tree_overhang,build_p_tree_100,0.36308063051305955
build_p_tree_100,build_has_tree_overhang,0.36308063051305955
build_p_building_200,build_p_road_100,0.36306090755270487
build_p_road_100,build_p_building_200,0.36306090755270487
build_p_building_100,build_p_road_300,0.36205891976577653
build_p_road_300,build_p_building_100,0.36205891976577653
build_p_building_200,build_p_road_200,0.3614085840647496
build_p_road_200,build_p_building_200,0.3614085840647496
build_p_building_100,build_p_otherpaved_200,0.3569512124204093
build_p_otherpaved_200,build_p_building_100,0.3569512124204093
parcel_Shrub_P,build_p_soil_200,0.35559698953333035
build_p_soil_200,parcel_Shrub_P,0.35559698953333035
build_min_dist_shrub,build_p_building_300,0.35412634862382725
build_p_building_300,build_min_dist_shrub,0.35412634862382725
parcel_Grass_P,build_p_building_300,0.3522551215152118
build_p_building_300,parcel_Grass_P,0.3522551215152118
ID_Build,parcel_Build_P,0.3519615250859133
parcel_Build_P,ID_Build,0.3519615250859133
parcel_Build_P,build_p_otherpaved_300,0.34845463841249713
build_p_otherpaved_300,parcel_Build_P,0.34845463841249713
build_p_grass_200,build_Mean_builddens,0.34675605218971384
build_Mean_builddens,build_p_grass_200,0.34675605218971384
parcel_Build_P,build_p_grass_200,0.3430928455720227
build_p_grass_200,parcel_Build_P,0.3430928455720227
build_p_shrub_200,build_p_soil_200,0.34279099673530167
build_p_soil_200,build_p_shrub_200,0.34279099673530167
build_near_build,build_p_shrub_200,0.34194556146612093
build_p_shrub_200,build_near_build,0.34194556146612093
build_min_dist_shrub,build_Mean_builddens,0.3404070916315365
build_Mean_builddens,build_min_dist_shrub,0.3404070916315365
parcel_Build_P,parcel_Grass_P,0.3404023056349278
parcel_Grass_P,parcel_Build_P,0.3404023056349278
build_p_building_300,build_p_grass_10,0.33637606930749925
build_p_grass_10,build_p_building_300,0.33637606930749925
build_min_dist_shrub,build_p_grass_200,0.3361700262170798
build_p_grass_200,build_min_dist_shrub,0.3361700262170798
build_near_build,build_p_shrub_300,0.3338039574945722
build_p_shrub_300,build_near_build,0.3338039574945722
parcel_Shrub_P,build_p_soil_300,0.32369358234170675
build_p_soil_300,parcel_Shrub_P,0.32369358234170675
build_p_otherpaved_300,build_Mean_builddens,0.3236597716197464
build_Mean_builddens,build_p_otherpaved_300,0.3236597716197464
parcel_Shrub_P,parcel_Soil_P,0.32227846949027233
parcel_Soil_P,parcel_Shrub_P,0.32227846949027233
parcel_Grass_P,build_Mean_builddens,0.31881807753073554
build_Mean_builddens,parcel_Grass_P,0.31881807753073554
build_overhang_ht,build_p_tree_300,0.3178225860044224
build_p_tree_300,build_overhang_ht,0.3178225860044224
build_p_building_200,build_p_grass_10,0.31656115346977554
build_p_grass_10,build_p_building_200,0.31656115346977554
parcel_Grass_P,build_p_building_200,0.31511682190837853
build_p_building_200,parcel_Grass_P,0.31511682190837853
build_p_building_100,build_p_road_200,0.3103730816450239
build_p_road_200,build_p_building_100,0.3103730816450239
build_min_dist_shrub,build_p_building_200,0.3103704095958028
build_p_building_200,build_min_dist_shrub,0.3103704095958028
build_near_build,build_p_shrub_100,0.30814074107651124
build_p_shrub_100,build_near_build,0.30814074107651124
parcel_Soil_P,build_p_shrub_300,0.30750067174275186
build_p_shrub_300,parcel_Soil_P,0.30750067174275186
parcel_Shrub_P,parcel_area,0.30553036124406985
parcel_area,parcel_Shrub_P,0.30553036124406985
parcel_Shrub_P,build_Mean_slope_30m_DEM,0.3031519348754729
build_Mean_slope_30m_DEM,parcel_Shrub_P,0.3031519348754729
parcel_Paved_P,build_p_building_300,0.3004890349833047
build_p_building_300,parcel_Paved_P,0.3004890349833047
build_has_tree_overhang,parcel_Can_P,0.30007125095660886
parcel_Can_P,build_has_tree_overhang,0.30007125095660886
build_p_grass_300,build_p_otherpaved_300,0.2964600365669726
build_p_otherpaved_300,build_p_grass_300,0.2964600365669726
build_p_shrub_200,build_p_soil_300,0.29560662767816875
build_p_soil_300,build_p_shrub_200,0.29560662767816875
build_p_building_10,build_p_building_200,0.2898527373492354
build_p_building_200,build_p_building_10,0.2898527373492354
build_near_build,build_p_soil_100,0.2878716278724121
build_p_soil_100,build_near_build,0.2878716278724121
build_p_road_300,build_Mean_builddens,0.28782343086769785
build_Mean_builddens,build_p_road_300,0.28782343086769785
build_has_tree_overhang,build_p_tree_200,0.287600658622267
build_p_tree_200,build_has_tree_overhang,0.287600658622267
build_area,build_p_otherpaved_100,0.28651727908473335
build_p_otherpaved_100,build_area,0.28651727908473335
parcel_Road_P,build_p_road_10,0.28576375069739174
build_p_road_10,parcel_Road_P,0.28576375069739174
build_p_building_300,build_p_grass_100,0.28570786939326287
build_p_grass_100,build_p_building_300,0.28570786939326287
build_p_grass_10,build_p_road_100,0.28495583650879175
build_p_road_100,build_p_grass_10,0.28495583650879175
parcel_Paved_P,build_p_building_200,0.2849533674727899
build_p_building_200,parcel_Paved_P,0.2849533674727899
build_p_shrub_100,build_p_soil_100,0.2848944872358912
build_p_soil_100,build_p_shrub_100,0.2848944872358912
build_p_building_300,build_p_otherpaved_100,0.28411377312815306
build_p_otherpaved_100,build_p_building_300,0.28411377312815306
build_p_building_200,build_p_otherpaved_100,0.2832566991026687
build_p_otherpaved_100,build_p_building_200,0.2832566991026687
parcel_Water_P,build_Mean_distroad,0.2828875273230433
build_Mean_distroad,parcel_Water_P,0.2828875273230433
parcel_Soil_P,build_Mean_slope_30m_DEM,0.28200986286814983
build_Mean_slope_30m_DEM,parcel_Soil_P,0.28200986286814983
parcel_Build_P,build_p_otherpaved_200,0.2801346936388522
build_p_otherpaved_200,parcel_Build_P,0.2801346936388522
build_has_tree_overhang,build_perc_overhang,0.2792480092912978
build_perc_overhang,build_has_tree_overhang,0.2792480092912978
ID_Build,build_p_building_100,0.2782628316961816
build_p_building_100,ID_Build,0.2782628316961816
build_area,build_p_otherpaved_200,0.27496255641866796
build_p_otherpaved_200,build_area,0.27496255641866796
build_area,build_p_otherpaved_300,0.27390617812597384
build_p_otherpaved_300,build_area,0.27390617812597384
build_p_grass_10,build_p_road_200,0.2736974597722857
build_p_road_200,build_p_grass_10,0.2736974597722857
build_p_building_100,build_p_grass_300,0.27366091097794754
build_p_grass_300,build_p_building_100,0.27366091097794754
build_p_grass_100,build_Mean_builddens,0.2728260952941118
build_Mean_builddens,build_p_grass_100,0.2728260952941118
build_p_soil_100,build_Mean_distall_road,0.2721917372277222
build_Mean_distall_road,build_p_soil_100,0.2721917372277222
parcel_Build_P,build_p_grass_100,0.2714866745333254
build_p_grass_100,parcel_Build_P,0.2714866745333254
build_p_grass_10,build_p_road_300,0.271479598716558
build_p_road_300,build_p_grass_10,0.271479598716558
build_min_dist_shrub,parcel_Grass_P,0.27077612445325594
parcel_Grass_P,build_min_dist_shrub,0.27077612445325594
build_p_otherpaved_200,build_Mean_builddens,0.26867001847361816
build_Mean_builddens,build_p_otherpaved_200,0.26867001847361816
parcel_Soil_P,build_p_shrub_200,0.26691112155153784
build_p_shrub_200,parcel_Soil_P,0.26691112155153784
build_p_road_200,build_Mean_builddens,0.2650408126324993
build_Mean_builddens,build_p_road_200,0.2650408126324993
build_near_build,build_p_soil_200,0.26416065301105207
build_p_soil_200,build_near_build,0.26416065301105207
build_p_water_10,build_p_water_100,0.26345487205099005
build_p_water_100,build_p_water_10,0.26345487205099005
build_p_building_10,build_p_building_300,0.2629890685018441
build_p_building_300,build_p_building_10,0.2629890685018441
build_Mean_distroad,build_Mean_slope_30m_DEM,0.2604039321515465
build_Mean_slope_30m_DEM,build_Mean_distroad,0.2604039321515465
parcel_Paved_P,build_Mean_builddens,0.2578676786256456
build_Mean_builddens,parcel_Paved_P,0.2578676786256456
ID_Build,build_near_dest,0.2574947216385211
build_near_dest,ID_Build,0.2574947216385211
parcel_Paved_P,build_p_building_100,0.25688851328580325
build_p_building_100,parcel_Paved_P,0.25688851328580325
build_p_building_200,build_p_grass_100,0.2559172323657897
build_p_grass_100,build_p_building_200,0.2559172323657897
build_p_grass_10,build_Mean_builddens,0.25147351162115683
build_Mean_builddens,build_p_grass_10,0.25147351162115683
build_p_water_300,build_Mean_distroad,0.2510579269853483
build_Mean_distroad,build_p_water_300,0.2510579269853483
build_p_soil_200,build_Mean_distall_road,0.25079678129195626
build_Mean_distall_road,build_p_soil_200,0.25079678129195626
ID_Build,build_p_otherpaved_300,0.2494645521072631
build_p_otherpaved_300,ID_Build,0.2494645521072631
build_p_grass_200,build_p_otherpaved_300,0.2481914385747801
build_p_otherpaved_300,build_p_grass_200,0.2481914385747801
build_p_building_100,build_p_otherpaved_100,0.24789501638222672
build_p_otherpaved_100,build_p_building_100,0.24789501638222672
build_min_dist_shrub,build_p_road_300,0.24775442404109435
build_p_road_300,build_min_dist_shrub,0.24775442404109435
build_p_building_100,build_p_grass_200,0.24528110843015039
build_p_grass_200,build_p_building_100,0.24528110843015039
build_p_shrub_200,build_Mean_distall_road,0.2433220039030944
build_Mean_distall_road,build_p_shrub_200,0.2433220039030944
build_near_build,build_Mean_distall_road,0.24282680506158036
build_Mean_distall_road,build_near_build,0.24282680506158036
build_p_road_100,build_Mean_builddens,0.24104924058343824
build_Mean_builddens,build_p_road_100,0.24104924058343824
build_min_dist_tree,build_p_soil_100,0.2407803500183845
build_p_soil_100,build_min_dist_tree,0.2407803500183845
build_p_shrub_10,build_p_shrub_200,0.23998024488897457
build_p_shrub_200,build_p_shrub_10,0.23998024488897457
build_has_tree_overhang,build_p_tree_300,0.23937476864318602
build_p_tree_300,build_has_tree_overhang,0.23937476864318602
ID_Build,build_Mean_distroad,0.2391287924312915
build_Mean_distroad,ID_Build,0.2391287924312915
build_p_shrub_100,build_p_soil_200,0.23737454998165597
build_p_soil_200,build_p_shrub_100,0.23737454998165597
build_near_build,parcel_Shrub_P,0.23659679182341634
parcel_Shrub_P,build_near_build,0.23659679182341634
build_min_dist_shrub,build_p_building_100,0.2326871679378035
build_p_building_100,build_min_dist_shrub,0.2326871679378035
build_min_dist_shrub,parcel_Build_P,0.23240977091911622
parcel_Build_P,build_min_dist_shrub,0.23240977091911622
parcel_Grass_P,build_p_road_300,0.2315491028070229
build_p_road_300,parcel_Grass_P,0.2315491028070229
parcel_Grass_P,build_p_road_100,0.23149577902652738
