Variable,Importance,Model,n_tree
build_p_road_200,2.75022068276375,cf_dins_binary,500
build_p_road_100,2.2698939013339343,cf_dins_binary,500
build_p_water_300,1.777250673463161,cf_dins_binary,500
build_EXTERIORSI,1.4996736070548693,cf_dins_binary,500
build_perc_overhang,1.440154693805781,cf_dins_binary,500
build_p_tree_100,1.4183924865628013,cf_dins_binary,500
parcel_Soil_P,1.4031223673274429,cf_dins_binary,500
build_p_road_10,1.2074350922372015,cf_dins_binary,500
parcel_Water_P,1.19722492120464,cf_dins_binary,500
build_p_grass_300,0.698238955207443,cf_dins_binary,500
build_near_build,0.4265236096640143,cf_dins_binary,500
build_p_water_200,0.281866981681386,cf_dins_binary,500
build_p_soil_200,0.014661341286107955,cf_dins_binary,500
build_p_water_10,0,cf_dins_binary,500
build_p_water_100,-0.2831152084266124,cf_dins_binary,500
build_p_shrub_10,-0.4621331958112286,cf_dins_binary,500
build_p_soil_10,-0.5923203809588664,cf_dins_binary,500
build_Mean_distall_road,-0.6073920359668765,cf_dins_binary,500
build_has_tree_overhang,-1.3379319727222936,cf_dins_binary,500
build_min_dist_tree,-2.2137442283079523,cf_dins_binary,500
build_overhang_ht,-2.29460668754661,cf_dins_binary,500
build_p_otherpaved_10,-3.61893058272187,cf_dins_binary,500
