"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"dist_to_build_ft",21,11087,101.23738996307,146.401209121159,75.684380585814,82.3242296388166,37.231981220694,0,8639.6352529455,8639.6352529455,25.0851510186725,1165.64011276962,1.39039321500672
"min_dist_tree",22,11134,Inf,NA,0.75,1.21328412924425,0,0.75,Inf,Inf,NA,NA,NA
"min_dist_shrub",23,11134,288.658563891893,302.889877738475,180.103874206543,234.534449190637,183.134239399338,0.75,2377.10571289062,2376.35571289062,2.05057787114405,5.93532531715318,2.87051057679245
"has_tree_overhang",24,11087,0.708848200595292,0.454313818411899,1,0.761019050839815,0,0,1,1,-0.919317682699886,-1.15495914624746,0.00431468328981449
"overhang_ht",25,11087,14.1211191537031,12.5856340122202,13.3650207519531,12.7833854662264,16.0843195404698,-0.04443359375,90.205115288496,90.249548882246,0.743054726813796,0.448464869802747,0.119527565668307
"perc_overhang",26,11087,0.0955007656880026,0.216921892732333,0.0088948187680676,0.0355727827079483,0.013187458305537,0,1,1,3.11872664815191,9.17930839352848,0.00206013823008694
"build_p_tree_10",27,11134,27.0332430254788,22.793563634177,22.0445700309756,24.1994371652614,21.3631481966445,0,100,100,1.04504584353009,0.731395663790992,0.216016348856631
"build_p_tree_100",28,11134,30.6305627849994,17.4026159447511,27.6656165771596,29.1137206438542,16.2610219432893,0,99.0138310876701,99.0138310876701,0.830813309740666,0.564483860451803,0.16492592458437
"build_p_tree_200",29,11134,29.1485631358996,15.150219623314,26.5102815018919,27.746238651824,13.9695293767815,0,95.055492042287,95.055492042287,0.924309674546402,0.92810262690477,0.143579792082061
"build_p_tree_300",30,11134,28.6951524214362,14.015751237759,26.541400719416,27.4306488843334,12.657393915998,0,92.3386925050986,92.3386925050986,0.924319143232439,1.0176972705538,0.132828348276521
"build_p_grass_10",31,11134,29.6853898405685,19.2517095559509,28.8331734828144,28.9468987632916,21.283815448052,0,97.5024582104228,97.5024582104228,0.317457975862687,-0.510487356231379,0.182449926403314
"build_p_grass_100",32,11134,16.9872426078671,9.25829768342595,16.3363460343433,16.5519012586554,9.3336113164457,0,76.0504481468164,76.0504481468164,0.531300054110453,0.393518228683637,0.0877415964567618
"build_p_grass_200",33,11134,15.2493819449282,7.87448412984538,14.9500750982755,15.0182666609594,8.15964855809731,0,64.2625315542734,64.2625315542734,0.415014282847023,0.482555411236994,0.0746270893906276
"build_p_grass_300",34,11134,14.3096730267494,7.40143686418526,14.1072459426035,14.1352347420911,7.83155464252109,0,60.0454194541884,60.0454194541884,0.351588675935901,0.265275582806391,0.0701439842121423
"build_p_soil_10",35,11134,20.8818805881897,21.0879384595749,15.2449869016432,17.5506101058189,19.5712465547371,0,100,100,1.34787527912865,1.68734951497216,0.199852008402949
"build_p_soil_100",36,11134,20.2636712625815,17.4624605654524,14.2097642407192,17.7082117469772,13.7656870918424,0,100,100,1.23271811271102,1.11664600825866,0.165493076639664
"build_p_soil_200",37,11134,23.5068379623907,16.9976486195637,19.5395318160742,21.5565938331613,17.419037319359,0.21625481959373,96.6369292997625,96.4206744801688,0.899623723860087,0.23887207436213,0.16108801821759
"build_p_soil_300",38,11134,25.2402833495524,16.0689313367609,22.6763250845156,23.7874383264924,17.6533725540109,0.620726137104555,96.2444995194982,95.6237733823937,0.735958234066795,0.0514451476537388,0.152286493376152
"build_p_water_10",39,11134,0.00462932989945925,0.268302913238603,0,0,0,0,21.0742830277386,21.0742830277386,65.6399602207739,4559.85159616973,0.00254272726439747
"build_p_water_100",40,11134,0.117848814406952,1.44505683756484,0,0,0,0,42.6298772397625,42.6298772397625,17.6802531254793,379.404588776517,0.0136949143605177
"build_p_water_200",41,11134,0.277795228072872,2.4157954907139,0,0,0,0,49.8049063888004,49.8049063888004,11.3779774799572,147.428439051246,0.0228946789481334
"build_p_water_300",42,11134,0.397718488457016,3.01444225236173,0,0,0,0,50.3933692703379,50.3933692703379,9.82647949645192,105.563983162574,0.0285681001727158
"build_p_building_10",43,11134,3.78939013177224,5.05509101090544,2.23627523841867,2.70051594374212,1.68964566773552,0,86.5633891874802,86.5633891874802,4.00523756862117,27.2810579523915,0.0479074847987541
"build_p_building_100",44,11134,11.4081933522941,10.0379446613592,9.5006803945605,10.0742274155637,9.85927441466023,0,54.2021538678116,54.2021538678116,1.11162322056096,1.05064803809625,0.0951303705981482
"build_p_building_200",45,11134,11.6083837576015,9.14594941445289,9.39978457219788,10.6975333283004,9.21597405744367,0,47.1102346160564,47.1102346160564,0.816852404524678,0.00350814893550044,0.0866768633043058
"build_p_building_300",46,11134,10.757094393793,8.28352327931984,8.68186250646619,9.95341747180095,8.42136008672944,0,41.6991165119324,41.6991165119324,0.769198895356805,-0.19620736061291,0.0785035847481331
"build_p_road_10",47,11134,1.22078580088271,5.22718824582834,0,0.00555901376292842,0,0,86.8512110726644,86.8512110726644,5.82188026029495,40.3056460997407,0.0495384634790964
"build_p_road_100",48,11134,8.17280833374615,7.95779204902943,6.62978547735392,7.06665411220304,8.88138142906646,0,53.9264126808959,53.9264126808959,1.1726376780917,1.52611852265946,0.0754166049232492
"build_p_road_200",49,11134,8.19174170026877,6.86515282046585,6.80629385033507,7.37004605960952,6.25631248868788,0,56.2563003228317,56.2563003228317,1.17659608364877,1.76642722697774,0.0650615792431959
"build_p_road_300",50,11134,7.99224260997897,6.16539972475053,6.70390092268965,7.30924377629664,5.63857791558316,0,51.2624469508067,51.2624469508067,1.16320720036169,1.86858243360886,0.058429965544542
"build_p_otherpaved_10",51,11134,17.1522932124349,19.2675095284213,11.9260348528641,13.9430362859587,17.6815392728563,0,100,100,1.37681343923626,1.87907899043035,0.182599663952907
"build_p_otherpaved_100",52,11134,11.1960757200666,10.0818538110797,9.07032376056038,9.7099656452809,7.60704942616112,0,89.9588910541813,89.9588910541813,2.06179676193848,6.74856927658472,0.0955465009740843
"build_p_otherpaved_200",53,11134,9.21258138434664,7.52435298780324,7.86422577205319,8.16222331904527,5.64220865267197,0,72.1647947890504,72.1647947890504,2.08023128025998,7.25057126068282,0.0713088697327089
"build_p_otherpaved_300",54,11134,8.34635970378312,6.43876089262528,7.26183114480608,7.49490791143042,5.01260316493144,0,59.8972645401452,59.8972645401452,1.96711014558444,6.62988673697205,0.061020630275657
"build_p_shrub_10",55,11134,0.232388070773762,2.36796692844626,0,0,0,0,89.4262683736368,89.4262683736368,16.6728135427212,386.64788849113,0.0224414039992076
"build_p_shrub_100",56,11134,1.22359712403815,3.73494398069715,0,0.313345110263208,0,0,55.4734944103859,55.4734944103859,5.74940633590671,45.4853991120765,0.0353963502523366
