polygon_id,a_tree,a_grass,a_soil,a_water,a_building,a_road,a_other_paved,a_shrub,a_total,p_tree,p_grass,p_soil,p_water,p_building,p_road,p_other_paved,p_shrub,Impervious Surface (%)
33,0,0,815.0625,0,109.6875,0,448.3125,0,1373.0625,0,0,59.36091765669808,0,7.988529291274069,0,32.65055305202786,0,40.63908234330192
34,553.5,396,1099.6875,0,126.5625,0,1330.3125,0,3506.0625,15.786940478100433,11.294721642868602,31.365313653136536,0,3.609818706882721,0,37.94320551901171,0,41.55302422589443
35,534.9375,230.625,665.4375,0,216.5625,0,1503.5625,0,3151.125,16.97607997143877,7.318814709032488,21.11745805069618,0,6.872545519457336,0,47.71510174937522,0,54.58764726883256
36,1186.3125,1361.25,444.375,0,113.625,0,231.75,0,3337.3125,35.546940839373,40.78880836002023,13.315354795213214,0,3.404685656497556,0,6.944210348896005,0,10.348896005393561
37,1384.3125,1397.25,753.75,0,79.3125,0,0,0,3614.625,38.297541238717706,38.655462184873954,20.85278555866791,0,2.1942110177404293,0,0,0,2.1942110177404293
38,90.5625,1620,575.4375,0,136.6875,0,0,0,2422.6875,3.738100766194567,66.86788948223821,23.752031576503366,0,5.64197817506385,0,0,0,5.64197817506385
39,712.125,581.0625,0,0,25.875,0,0,0,1319.0625,53.98720682302772,44.05117270788912,0,0,1.9616204690831558,0,0,0,1.9616204690831558
40,140.0625,507.9375,211.5,0,124.3125,0,409.5,0,1393.3125,10.05248284214776,36.455389584174405,15.179652805813484,0,8.922083165119096,0,29.390391602745257,0,38.31247476786435
41,627.75,597.375,173.8125,0,57.9375,0,1256.625,0,2713.5,23.134328358208954,22.01492537313433,6.4054726368159205,0,2.1351575456053067,0,46.31011608623549,0,48.4452736318408
42,867.375,264.9375,0,0,25.875,0,575.4375,0,1733.625,50.0324464633355,15.282284231018819,0,0,1.4925373134328357,0,33.19273199221285,0,34.68526930564568
43,1606.5,911.8125,118.125,0,111.9375,0,0,0,2748.375,58.45272206303726,33.176422431436755,4.297994269340974,0,4.072861236185019,0,0,0,4.072861236185019
