polygon_id,a_tree,a_grass,a_soil,a_water,a_building,a_road,a_otherpaved,a_shrub,a_total,p_tree,p_grass,p_soil,p_water,p_building,p_road,p_otherpaved,p_shrub,Impervious Surface (%)
40,15232.5,8933.625,5402.8125,0,5132.8125,4344.75,3160.6875,0,42207.1875,36.089824748450724,21.166122476177783,12.800693009928699,0,12.160991537282602,10.293862863996802,7.488505364163391,0,29.943359765442796
41,19361.8125,14378.0625,9682.875,0,1797.75,4120.875,4663.125,0,54004.5,35.85222064827931,26.623823014748773,17.92975585367886,0,3.328889259228398,7.630614115490377,8.634697108574285,0,19.594200483293058
42,22659.75,8254.125,1210.5,0,6602.625,0,6878.25,0,45605.25,49.68671370072524,18.099067541565937,2.654299669445952,0,14.47777394050027,0,15.082145147762594,0,29.559919088262866
43,11268,17709.1875,8506.125,0,10851.1875,0,5265,0,53599.5,21.022584165897072,33.03983712534632,15.869784233061877,0,20.2449416505751,0,9.822852825119638,0,30.067794475694736
44,29853.5625,16261.3125,9831.375,0,3034.6875,3562.875,1080.5625,0,63624.375,46.921580762089995,25.558306073733533,15.452214658297233,0,4.769693218990363,5.599858544779418,1.698346742109451,0,12.067898505879231
45,7980.1875,19037.8125,5825.25,0,10642.5,0,7558.3125,0,51044.0625,15.63391922419968,37.296820761474464,11.41219901922971,0,20.849633588627473,0,14.807427406468676,0,35.657060995096145
46,17102.8125,8427.9375,3342.9375,0,8416.6875,0,8937,0,46227.375,36.99715266116668,18.231486213526075,7.231510549755421,0,18.207149984181452,0,19.332700591370372,0,37.539850575551824
47,25079.625,5574.375,801,0,896.0625,5088.375,4825.125,0,42264.5625,59.33960631912374,13.189240986464723,1.8952047593063337,0,2.1201272342520996,12.03934146958223,11.416479231270879,0,25.57594793510521
48,30036.375,5091.75,2535.75,0,2659.5,2271.9375,746.4375,0,43341.75,69.30125110315112,11.74791050199865,5.850594403779266,0,6.136115869802212,5.241914551212169,1.722213570056585,0,13.100243991070965
49,12184.3125,14627.8125,5108.0625,0,11567.25,0,8241.1875,0,51728.625,23.554294164981187,28.277984384854616,9.874730867097279,0,22.361410147669687,0,15.93158043539723,0,38.292990583066924
50,29208.375,7185.9375,2826,0,5124.9375,0,1872,0,46217.25,63.197994255391656,15.548171948785356,6.11460006815637,0,11.08879801372864,0,4.050435713937977,0,15.139233727666618
51,15295.5,7513.875,7812,0,4709.8125,3886.3125,2926.6875,0,42144.1875,36.29326108137688,17.82897107697236,18.536364000373716,0,11.17547348611241,9.221467373169787,6.944462981994848,0,27.341403841277046
52,13964.0625,23516.4375,5832.5625,0,11539.125,0,14005.6875,36,68893.875,20.268946259736442,34.13429350577247,8.466010222243995,0,16.74913045608191,0,20.32936527376345,0.05225428240173746,37.09788096132795
53,46867.5,18037.6875,7431.1875,16.3125,3866.625,0,3596.0625,0,79815.375,58.71988949497512,22.599264239502727,9.310471196808885,0.020437791590905887,4.844461358478864,0,4.505475918643494,0,9.351848588446762
54,28883.25,8242.3125,848.25,0,479.8125,0,3714.75,0,42168.375,68.49505108982738,19.546194274737882,2.0115785822906385,0,1.1378491582850891,0,8.809326894859003,0,9.947176053144092
55,6922.125,3456,16254.5625,0,77.625,2339.4375,1799.4375,0,30849.1875,22.438597450905313,11.202888244625568,52.690407162263185,0,0.25162737268201957,7.583465528873329,5.833014240650584,0,13.668107142205931
56,27407.25,12266.4375,8300.8125,0,1672.875,4818.375,2769.1875,0,57234.9375,47.885524466590006,21.431730400684025,14.503051567060766,0,2.9228213973327044,8.418590480683237,4.838281687649261,0,16.1796935656652
57,37456.3125,7077.375,3420,0,2764.125,0,0,0,50717.8125,73.85238174457939,13.954416902345699,6.743193034991404,0,5.450008318083514,0,0,0,5.450008318083514
58,23961.375,9634.5,3166.3125,206.4375,14.625,0,3446.4375,0,40429.6875,59.26678260869566,23.83026086956522,7.831652173913044,0.5106086956521739,0.036173913043478265,0,8.524521739130435,0,8.604631649605638
