OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank
6122,3059,414.548214,2
6123,3060,148.985823,1
6124,3060,573.607681,2
6125,3061,659.505328,1
6126,3061,836.151989,2
6127,3062,11.130305,1
6128,3062,1051.713160,2
6129,3063,6.889268,1
6130,3063,86.657288,2
6131,3064,704.670364,1
6132,3064,965.329409,2
6133,3065,852.944703,1
6134,3065,1082.846495,2
6135,3066,702.353060,1
6136,3066,776.306502,2
6137,3067,911.119213,1
6138,3067,1067.423196,2
6139,3068,711.504745,1
6140,3068,947.915562,2
6141,3069,115.100029,1
6142,3069,843.082840,2
6143,3070,685.845427,1
6144,3070,950.756838,2
6145,3071,648.983329,1
6146,3071,833.151245,2
6147,3072,1089.898080,1
6148,3072,1089.898080,1
6149,3073,616.502619,1
6150,3073,707.926374,2
6151,3074,0.000000,1
6152,3074,987.857894,2
6153,3075,705.343381,1
6154,3075,963.041734,2
6155,3076,0.000000,1
6156,3076,80.190616,2
6157,3077,364.257017,1
6158,3077,443.851116,2
6159,3078,410.229061,1
6160,3078,753.724184,2
6161,3079,6.257975,1
6162,3079,86.539019,2
6163,3080,654.244946,1
6164,3080,919.647621,2
6165,3081,282.389034,1
6166,3081,298.467128,2
6167,3082,145.002827,1
6168,3082,500.913137,2
6169,3083,656.398084,1
6170,3083,748.292162,2
6171,3084,349.131077,1
6172,3084,433.091163,2
6173,3085,385.622446,1
6174,3085,472.021043,2
5623,3086,0.000000,1
5624,3086,0.000000,1
5625,3087,0.000000,1
5626,3087,0.000000,1
6175,3088,864.379773,1
6176,3088,1025.528368,2
6177,3089,1067.487968,1
6178,3089,1067.487968,1
6179,3090,654.485857,1
6180,3090,912.068309,2
6181,3091,0.000000,1
6182,3091,20.274406,2
6183,3092,716.824791,1
6184,3092,734.656604,2
6185,3093,250.904852,1
6186,3093,682.501796,2
6187,3094,943.528519,1
6188,3094,996.526690,2
6189,3095,626.137809,1
6190,3095,890.852540,2
6191,3096,234.802704,1
6192,3096,299.513977,2
6193,3097,90.323252,1
6194,3097,170.091211,2
6195,3098,412.220093,1
6196,3098,552.874079,2
6197,3099,207.699255,1
6198,3099,766.876755,2
6199,3100,849.486472,1
6200,3100,1512.579762,2
6201,3101,985.283488,1
6202,3101,985.283488,1
6203,3102,978.412861,1
6204,3102,979.546793,2
6205,3103,169.235031,1
6206,3103,239.804476,2
6207,3104,681.177108,1
6208,3104,781.543878,2
