OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank,Near_dest,Near_dst_rank
13501,6751,1095.143092,1,0,1
13502,6751,1684.922324,2,231.1996243,2
13503,6752,218.4348701,1,0,1
13504,6752,647.7970396,2,5.762538334,2
13505,6753,220.7119376,1,0,1
13506,6753,2699.909407,2,79.25558908,2
13507,6754,1409.245317,1,0,1
13508,6754,1535.118916,2,460.6126445,2
13509,6755,115.9161102,1,0,1
13510,6755,721.810834,2,8.256634337,2
13511,6756,921.9085702,1,0,1
13512,6756,922.4513566,2,75.39368978,2
13513,6757,228.885848,1,0,1
13514,6757,727.8022157,2,8.256634337,2
13515,6758,2131.796671,1,0,1
13516,6758,2800.017712,2,123.9684323,2
13517,6759,981.8575226,1,0,1
13518,6759,982.0179872,2,34.05139059,2
13519,6760,741.4862094,1,0,1
13520,6760,766.5815501,2,39.16036157,2
13521,6761,1802.989453,1,0,1
13522,6761,2466.003317,2,57.50618378,2
13523,6762,2614.43453,1,0,1
13524,6762,2897.35708,2,62.69355573,2
13525,6763,2682.7717,1,0,1
13526,6763,2849.974759,2,62.69355573,2
13527,6764,1579.602207,1,0,1
13528,6764,2268.439163,2,20.01468797,2
13529,6765,435.7160875,1,0,1
13530,6765,2830.591228,2,103.8794208,2
13531,6766,544.961393,1,0,1
13532,6766,3019.274322,2,151.505746,2
13533,6767,666.935864,1,0,1
13534,6767,685.347889,2,39.16036157,2
13535,6768,1731.966564,1,0,1
13536,6768,2419.965949,2,25.95542985,2
13537,6769,1594.760772,1,0,1
13538,6769,2297.679675,2,16.75450428,2
13539,6770,1233.357084,1,0,1
13540,6770,1249.854653,2,170.2478493,2
13541,6771,1417.590387,1,0,1
13542,6771,2119.119222,2,21.90952626,2
13543,6772,616.1972752,1,0,1
13544,6772,698.6485725,2,11.70091666,2
13545,6773,1525.608666,1,0,1
13546,6773,2235.787971,2,16.75450428,2
13547,6774,599.4021079,1,0,1
13548,6774,639.2133129,2,113.3139953,2
13549,6775,629.8665554,1,0,1
13550,6775,696.0086404,2,54.77071374,2
13551,6776,1309.70625,1,0,1
13552,6776,2016.037923,2,44.80044075,2
13553,6777,1043.120437,1,0,1
13554,6777,1767.34757,2,71.46496912,2
13555,6778,581.2467275,1,0,1
13556,6778,640.8242772,2,54.77071374,2
13557,6779,1163.43002,1,0,1
13558,6779,1890.756653,2,44.80044075,2
13559,6780,1109.641535,1,0,1
13560,6780,1159.136152,2,34.05139059,2
13561,6781,2610.44755,1,0,1
13562,6781,2954.832461,2,83.12415062,2
13563,6782,638.5399019,1,0,1
13564,6782,645.080284,2,11.70091666,2
13565,6783,1103.361988,1,0,1
13566,6783,1155.182181,2,419.6189889,2
13567,6784,2697.796471,1,0,1
13568,6784,2845.478942,2,83.12415062,2
13569,6785,85.62077419,1,0,1
13570,6785,948.1077985,2,80.48572494,2
13571,6786,579.502833,1,0,1
13572,6786,595.6364428,2,19.18578203,2
13573,6787,626.5402111,1,0,1
13574,6787,2949.950513,2,69.4030624,2
13575,6788,388.5035689,1,0,1
13576,6788,1212.942173,2,8.5184347,2
13577,6789,392.5901082,1,0,1
13578,6789,571.1475204,2,137.3926239,2
13579,6790,565.9538498,1,0,1
13580,6790,588.1078646,2,19.18578203,2
13581,6791,0,1,0,1
13582,6791,907.6825311,2,10.39087191,2
13583,6792,885.0920394,1,0,1
13584,6792,1693.578483,2,72.47517369,2
13585,6793,424.9108909,1,0,1
13586,6793,1271.215265,2,8.5184347,2
13587,6794,693.885104,1,0,1
13588,6794,1530.879605,2,54.30238949,2
13589,6795,10.39087191,1,0,1
13590,6795,934.1960391,2,8.762611425,2
13591,6796,781.3880302,1,0,1
13592,6796,2969.408398,2,36.49743894,2
13593,6797,503.1021991,1,0,1
13594,6797,535.2908127,2,26.80229532,2
13595,6798,37.13170872,1,0,1
13596,6798,978.5064098,2,37.13170872,2
13597,6799,21.56000018,1,0,1
13598,6799,899.7020608,2,8.762611425,2
13599,6800,1735.674986,1,0,1
13600,6800,2463.007338,2,143.7416816,2
13601,6801,232.254925,1,0,1
13602,6801,760.16713,2,137.3926239,2
13603,6802,1027.630022,1,0,1
13604,6802,1861.018432,2,12.43474218,2
13605,6803,1056.383868,1,0,1
13606,6803,1888.231949,2,12.43474218,2
13607,6804,460.0517128,1,0,1
