OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
528,264,92,245.7563973,2
529,265,83,65.15789435,1
530,265,92,197.0630313,2
531,266,76,117.1968469,1
532,266,74,118.5296087,2
533,267,79,0,1
534,267,80,15.37626115,2
535,268,81,98.15370826,1
536,268,78,158.1457622,2
537,269,81,41.08594673,1
538,269,78,113.4761976,2
539,270,80,0,1
540,270,82,13.35044635,2
541,271,81,0,1
542,271,78,79.44109443,2
543,272,82,0,1
544,272,80,13.35044635,2
545,273,83,0,1
546,273,92,117.2472899,2
547,274,84,0,1
548,274,77,42.29320927,2
549,275,73,321.3255227,1
550,275,92,349.2821105,2
551,276,93,213.3445157,1
552,276,81,227.4542442,2
553,277,73,322.6201829,1
554,277,92,498.251612,2
555,278,81,8.188020601,1
556,278,78,74.93137965,2
557,279,83,21.1479179,1
558,279,92,113.7245924,2
559,280,81,146.1664047,1
560,280,93,209.9577499,2
561,281,92,116.2884247,1
562,281,83,185.1822022,2
563,282,85,27.6487372,1
564,282,80,79.2195899,2
565,283,91,56.91087808,1
566,283,85,118.7715887,2
567,284,92,307.0562986,1
568,284,73,409.7523182,2
569,285,92,209.9426982,1
570,285,83,288.2725026,2
571,286,83,182.8276688,1
572,286,92,220.0959,2
573,287,93,80.41141229,1
574,287,100,156.7584838,2
575,288,94,282.751694,1
576,288,81,363.0243218,2
577,289,93,68.24581586,1
578,289,100,122.093672,2
579,290,94,67.90672436,1
580,290,95,94.8526503,2
581,291,92,109.8081699,1
582,291,83,112.735512,2
583,292,92,415.131567,1
584,292,73,421.436416,2
585,293,94,49.17250159,1
586,293,95,91.72063527,2
587,294,94,331.8842654,1
588,294,95,420.2680592,2
589,295,85,0,1
590,295,84,71.03486825,2
591,296,110,350.8587196,1
592,296,73,443.245253,2
593,297,110,307.8024293,1
594,297,119,476.9936907,2
595,298,110,399.9788548,1
596,298,92,437.7761195,2
597,299,86,0,1
598,299,115,62.82095801,2
599,300,87,0,1
600,300,89,43.79447591,2
601,301,88,0,1
602,301,136,37.60440394,2
603,302,89,0,1
604,302,143,0.522593082,2
605,303,90,0,1
606,303,157,15.20499098,2
607,304,91,0,1
608,304,96,15.88342836,2
609,305,92,0,1
610,305,83,117.2472899,2
611,306,92,209.0849499,1
612,306,83,406.478139,2
613,307,107,182.2650457,1
614,307,101,364.6019417,2
615,308,93,0,1
616,308,100,23.23549146,2
617,309,94,0,1
618,309,95,38.82269154,2
619,310,92,109.6814734,1
620,310,83,232.17794,2
621,311,85,35.86819371,1
622,311,97,120.1084018,2
623,312,95,0,1
624,312,94,38.82269154,2
625,313,85,142.1507956,1
626,313,105,152.7825171,2
627,314,95,13.93580212,1
628,314,94,15.62555847,2
629,315,96,0,1
630,315,91,15.88342836,2
631,316,110,134.1668242,1
632,316,119,364.0120295,2
633,317,105,180.6390699,1
634,317,109,190.204172,2
635,318,101,26.51506237,1
636,318,108,199.7988757,2
