OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
286,58,2,318.5302513,1,58
287,58,3,363.2925619,2,58
288,58,1,408.7848652,3,58
289,58,4,456.3647434,4,58
290,58,14,598.6931159,5,58
291,59,4,0,1,59
292,59,3,48.12080932,2,59
293,59,1,231.4042477,3,59
294,59,2,245.6428305,4,59
295,59,6,338.3706319,5,59
296,60,20,601.6671779,1,60
297,60,11,601.9285293,2,60
298,60,16,624.5742844,3,60
299,60,14,635.9049636,4,60
300,60,15,635.9049636,4,60
301,61,5,457.6279045,1,61
302,61,11,556.7059015,2,61
303,61,18,566.8128571,3,61
304,61,17,611.8865568,4,61
305,61,22,660.6281778,5,61
306,62,3,183.8333104,1,62
307,62,2,253.9327404,2,62
308,62,4,269.3993818,3,62
309,62,1,300.2310047,4,62
310,62,6,530.8876284,5,62
311,63,5,270.739961,1,63
312,63,8,563.492704,2,63
313,63,9,563.492704,2,63
314,63,18,590.03851,3,63
315,63,11,618.6293114,4,63
316,64,20,569.3589864,1,64
317,64,16,591.9349069,2,64
318,64,11,597.100784,3,64
319,64,14,603.2611569,4,64
320,64,15,603.2611569,4,64
321,65,5,411.6716146,1,65
322,65,11,542.8359295,2,65
323,65,18,544.1036463,3,65
324,65,17,596.9509369,4,65
325,65,22,638.6426774,5,65
326,66,11,512.1406559,1,66
327,66,17,588.8120358,2,66
328,66,18,589.9352724,3,66
329,66,20,631.2433338,4,66
330,66,38,654.2284138,5,66
331,67,3,214.5272981,1,67
332,67,2,276.4182062,2,67
333,67,4,298.0456352,3,67
334,67,1,327.2437405,4,67
335,67,19,526.4696626,5,67
336,68,5,200.4312261,1,68
337,68,8,491.6363265,2,68
338,68,9,491.6363265,2,68
339,68,10,568.1632009,3,68
340,68,18,589.8714289,4,68
341,69,20,532.9749253,1,69
342,69,11,540.3243731,2,69
343,69,16,559.4633066,3,69
344,69,14,581.4366799,4,69
345,69,15,581.4366799,4,69
346,70,3,246.5020741,1,70
347,70,2,314.0429218,2,70
348,70,4,323.8659906,3,70
349,70,1,366.1936924,4,70
350,70,19,504.0407925,5,70
351,71,3,440.3221714,1,71
352,71,2,440.6079597,2,71
353,71,14,487.0410525,3,71
354,71,15,487.0410525,3,71
355,71,1,520.9163318,4,71
356,72,5,189.2626151,1,72
357,72,8,468.2076756,2,72
358,72,9,468.2076756,2,72
359,72,18,533.4087409,3,72
360,72,10,542.8077151,4,72
361,73,3,157.6668733,1,73
362,73,4,198.1291322,2,73
363,73,2,309.9522718,3,73
364,73,1,340.7885232,4,73
365,73,6,390.034203,5,73
366,74,6,132.3563514,1,74
367,74,4,184.561486,2,74
368,74,7,240.7735861,3,74
369,74,3,269.6148164,4,74
370,74,12,395.7694706,5,74
371,75,5,73.70168329,1,75
372,75,8,360.6532364,2,75
373,75,9,360.6532364,2,75
374,75,10,436.3018169,3,75
375,75,18,497.0830591,4,75
376,76,5,224.7406222,1,76
377,76,18,419.4331513,2,76
378,76,8,445.7182172,3,76
379,76,9,445.7182172,3,76
380,76,11,464.9207313,4,76
381,77,5,0,1,77
382,77,8,245.6230081,2,77
383,77,9,245.6230081,2,77
384,77,10,334.3231639,3,77
385,77,13,396.1758387,4,77
386,78,20,368.3609465,1,78
387,78,16,390.142244,2,78
388,78,14,407.5152849,3,78
389,78,15,407.5152849,3,78
390,78,11,471.2826565,4,78
391,79,5,100.9945349,1,79
392,79,8,314.6699691,2,79
393,79,9,314.6699691,2,79
394,79,10,382.791198,3,79
395,79,18,408.5801941,4,79
396,80,14,320.2727499,1,80
397,80,15,320.2727499,1,80
398,80,16,379.5981454,2,80
399,80,19,385.4065691,3,80
400,80,20,436.1398454,4,80
401,81,11,298.3555663,1,81
402,81,18,310.2072578,2,81
403,81,17,352.6524826,3,81
404,81,22,402.5297055,4,81
405,81,25,425.3282021,5,81
406,82,11,275.518721,1,82
407,82,18,332.3287965,2,82
408,82,17,342.1380933,3,82
409,82,25,418.7992806,4,82
410,82,22,418.8556092,5,82
411,83,5,27.51799217,1,83
412,83,8,148.7027835,2,83
413,83,9,148.7027835,2,83
414,83,10,246.6961094,3,83
415,83,13,305.6455117,4,83
416,84,19,280.4104019,1,84
417,84,3,325.3551599,2,84
418,84,4,327.7487964,3,84
419,84,7,340.6319632,4,84
420,84,6,355.786734,5,84
421,85,6,0,1,85
422,85,7,82.52920371,2,85
423,85,12,240.8735464,3,85
424,85,23,293.4860604,4,85
425,85,24,293.4860604,4,85
426,86,8,100.8884051,1,86
427,86,9,100.8884051,1,86
428,86,5,121.3753962,2,86
429,86,10,191.8322331,3,86
430,86,13,251.718825,4,86
431,87,11,211.2191641,1,87
432,87,17,290.015007,2,87
433,87,18,300.7779651,3,87
434,87,38,350.5039328,4,87
435,87,25,366.3395731,5,87
436,88,14,258.7916253,1,88
437,88,15,258.7916253,1,88
438,88,19,292.562185,2,88
439,88,16,336.9734032,3,88
440,88,20,415.3791665,4,88
441,89,11,236.2730418,1,89
442,89,20,321.1131754,2,89
443,89,17,321.8071294,3,89
444,89,38,347.9379772,4,89
445,89,18,359.5905859,5,89
446,90,5,170.8086916,1,90
447,90,8,284.219089,2,90
448,90,9,284.219089,2,90
449,90,31,320.7898224,3,90
450,90,32,320.7898224,3,90
451,91,20,222.410567,1,91
452,91,16,236.0380367,2,91
453,91,14,244.3495157,3,91
454,91,15,244.3495157,3,91
455,91,11,439.9284945,4,91
456,92,14,216.1749917,1,92
457,92,15,216.1749917,1,92
458,92,16,232.9870936,2,92
459,92,20,235.6967383,3,92
460,92,19,475.0096292,4,92
461,93,11,219.5984995,1,93
462,93,20,294.5947629,2,93
463,93,17,305.2816812,3,93
464,93,38,321.2945266,4,93
465,93,18,349.5430477,5,93
466,94,20,198.8883973,1,94
467,94,16,212.3313355,2,94
468,94,14,217.5039878,3,94
469,94,15,217.5039878,3,94
470,94,11,427.9094492,4,94
471,95,18,178.9725645,1,95
472,95,11,213.5939438,2,95
473,95,17,257.9706933,3,95
474,95,22,272.9636022,4,95
475,95,27,285.6807487,5,95
476,96,8,18.14169213,1,96
477,96,9,18.14169213,1,96
