OBJECTID,IN_FID,Near_dest,Near_dst_rank
128,56,48.12080932,2
129,57,490.3494279,1
130,57,577.8961484,2
131,58,318.5302513,1
132,58,363.2925619,2
133,59,0,1
134,59,48.12080932,2
135,60,601.6671779,1
136,60,601.9285293,2
137,61,457.6279045,1
138,61,556.7059015,2
139,62,183.8333104,1
140,62,253.9327404,2
141,63,270.739961,1
142,63,563.492704,2
143,64,569.3589864,1
144,64,591.9349069,2
145,65,411.6716146,1
146,65,542.8359295,2
147,66,512.1406559,1
148,66,588.8120358,2
149,67,214.5272981,1
150,67,276.4182062,2
151,68,200.4312261,1
152,68,491.6363265,2
153,69,532.9749253,1
154,69,540.3243731,2
155,70,246.5020741,1
156,70,314.0429218,2
157,71,440.3221714,1
158,71,440.6079597,2
159,72,189.2626151,1
160,72,468.2076756,2
161,73,157.6668733,1
162,73,198.1291322,2
163,74,132.3563514,1
164,74,184.561486,2
165,75,73.70168329,1
166,75,360.6532364,2
167,76,224.7406222,1
168,76,419.4331513,2
169,77,0,1
170,77,245.6230081,2
171,78,368.3609465,1
172,78,390.142244,2
173,79,100.9945349,1
174,79,314.6699691,2
175,80,320.2727499,1
176,80,320.2727499,1
177,81,298.3555663,1
178,81,310.2072578,2
179,82,275.518721,1
180,82,332.3287965,2
181,83,27.51799217,1
182,83,148.7027835,2
183,84,280.4104019,1
184,84,325.3551599,2
185,85,0,1
186,85,82.52920371,2
187,86,100.8884051,1
188,86,100.8884051,1
189,87,211.2191641,1
190,87,290.015007,2
191,88,258.7916253,1
192,88,258.7916253,1
193,89,236.2730418,1
194,89,321.1131754,2
195,90,170.8086916,1
196,90,284.219089,2
197,91,222.410567,1
198,91,236.0380367,2
199,92,216.1749917,1
200,92,216.1749917,1
201,93,219.5984995,1
202,93,294.5947629,2
203,94,198.8883973,1
204,94,212.3313355,2
205,95,178.9725645,1
206,95,213.5939438,2
207,96,18.14169213,1
208,96,18.14169213,1
209,97,144.6186238,1
210,97,230.0234872,2
211,98,0,1
212,98,82.52920371,2
213,99,115.4439007,1
214,99,290.4113015,2
215,100,144.0037537,1
216,100,204.855575,2
217,101,109.7682396,1
218,101,226.2310353,2
219,102,18.34772275,1
220,102,105.0915774,2
221,103,112.5483079,1
222,103,112.5483079,1
223,104,123.0052654,1
