OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
29148,5830,1222,943.7819985,3,5770
29149,5830,1228,1060.55549,4,5770
29150,5830,1240,1176.677559,5,5770
29151,5831,1188,728.6806461,1,5771
29152,5831,1229,779.7679244,2,5771
29153,5831,1222,933.5185891,3,5771
29154,5831,1228,1044.957095,4,5771
29155,5831,1255,1176.946162,5,5771
29156,5832,1218,0,1,5772
29157,5832,1226,440.932391,2,5772
29158,5832,1254,927.8499118,3,5772
29159,5832,1207,1981.906172,4,5772
29160,5832,1145,2098.488437,5,5772
29161,5833,1204,430.0889875,1,5773
29162,5833,1196,582.737826,2,5773
29163,5833,1234,635.047814,3,5773
29164,5833,1240,745.2828472,4,5773
29165,5833,1187,839.1715965,5,5773
29166,5834,1490,7085.927548,1,5774
29167,5834,1411,11292.96047,2,5774
29168,5834,1408,11324.43031,3,5774
29169,5834,1409,11324.43031,3,5774
29170,5834,1417,11346.51018,4,5774
29171,5835,1214,41.0081076,1,5775
29172,5835,1223,179.6584285,2,5775
29173,5835,1224,179.6584285,2,5775
29174,5835,1227,335.0681599,3,5775
29175,5835,1206,396.4264952,4,5775
29176,5836,1216,150.3937346,1,5776
29177,5836,1217,150.3937346,1,5776
29178,5836,1221,163.7693797,2,5776
29179,5836,1198,587.0253484,3,5776
29180,5836,1189,643.936165,4,5776
29181,5837,1205,490.3775543,1,5777
29182,5837,1202,533.5896889,2,5777
29183,5837,1197,607.8591314,3,5777
29184,5837,1191,655.6860814,4,5777
29185,5837,1227,695.80525,5,5777
29186,5838,1204,600.9467291,1,5778
29187,5838,1234,710.1121065,2,5778
29188,5838,1240,718.7354065,3,5778
29189,5838,1196,784.1750529,4,5778
29190,5838,1241,965.031925,5,5778
29191,5839,1240,931.1038298,1,5779
29192,5839,1188,972.2225977,2,5779
29193,5839,1204,1019.68088,3,5779
29194,5839,1234,1063.927112,4,5779
29195,5839,1229,1126.441086,5,5779
29196,5840,1215,55.37188349,1,5780
29197,5840,1225,178.1372852,2,5780
29198,5840,1212,281.1947657,3,5780
29199,5840,1210,527.9936956,4,5780
29200,5840,1232,531.7413865,5,5780
29201,5841,1219,0,1,5781
29202,5841,1209,545.5840316,2,5781
29203,5841,1161,1722.942905,3,5781
29204,5841,1221,1916.070015,4,5781
29205,5841,1402,1924.96797,5,5781
29206,5842,1204,569.2488539,1,5782
29207,5842,1234,682.146175,2,5782
29208,5842,1240,708.6677094,3,5782
29209,5842,1196,747.5938396,4,5782
29210,5842,1241,933.0713302,5,5782
29211,5843,1222,177.5885491,1,5783
29212,5843,1229,358.4787833,2,5783
29213,5843,1228,369.2755493,3,5783
29214,5843,1230,546.4456283,4,5783
29215,5843,1231,626.3746825,5,5783
29216,5844,1214,87.20684177,1,5784
29217,5844,1223,158.9700514,2,5784
29218,5844,1224,158.9700514,2,5784
29219,5844,1227,305.6492483,3,5784
29220,5844,1206,443.7679013,4,5784
29221,5845,1240,743.3092814,1,5785
29222,5845,1204,757.90272,2,5785
29223,5845,1234,801.5590814,3,5785
29224,5845,1196,945.2266988,4,5785
29225,5845,1241,1066.96535,5,5785
29226,5846,1188,794.555877,1,5786
29227,5846,1229,885.4689341,2,5786
29228,5846,1222,1062.069628,3,5786
29229,5846,1240,1079.474549,4,5786
29230,5846,1228,1163.617873,5,5786
29231,5847,1204,662.7404067,1,5787
29232,5847,1240,711.1281364,2,5787
29233,5847,1234,729.02229,3,5787
29234,5847,1196,847.0098131,4,5787
29235,5847,1241,989.3629293,5,5787
29236,5848,1490,7043.487066,1,5788
29237,5848,1411,11377.7384,2,5788
29238,5848,1408,11409.2954,3,5788
29239,5848,1409,11409.2954,3,5788
29240,5848,1417,11431.17026,4,5788
29241,5849,1188,865.4178188,1,5789
29242,5849,1229,960.1849536,2,5789
29243,5849,1240,1017.46125,3,5789
29244,5849,1222,1145.1278,4,5789
29245,5849,1204,1161.101826,5,5789
29246,5850,1204,445.9066153,1,5790
29247,5850,1196,566.4212254,2,5790
29248,5850,1234,596.4693848,3,5790
29249,5850,1240,769.6955654,4,5790
29250,5850,1241,774.3522797,5,5790
29251,5851,1204,582.8744806,1,5791
29252,5851,1234,642.402913,2,5791
29253,5851,1240,688.7435682,3,5791
29254,5851,1196,757.5453731,4,5791
29255,5851,1241,888.677485,5,5791
29256,5852,1240,866.5235378,1,5792
29257,5852,1204,985.3362718,2,5792
29258,5852,1234,1000.448974,3,5792
29259,5852,1188,1024.049216,4,5792
29260,5852,1229,1161.991535,5,5792
29261,5853,1204,448.7399273,1,5793
29262,5853,1196,556.2495066,2,5793
29263,5853,1234,599.4770552,3,5793
29264,5853,1192,751.7220413,4,5793
29265,5853,1241,762.932876,5,5793
29266,5854,1240,815.3025483,1,5794
29267,5854,1204,922.4362321,2,5794
29268,5854,1234,928.6044372,3,5794
29269,5854,1188,1085.562135,4,5794
29270,5854,1196,1111.137957,5,5794
29271,5855,1204,545.6308548,1,5795
29272,5855,1234,625.9511356,2,5795
29273,5855,1240,682.8442575,3,5795
29274,5855,1196,716.2450584,4,5795
29275,5855,1241,868.4856131,5,5795
29276,5856,1490,7016.614244,1,5796
29277,5856,1411,11455.11539,2,5796
29278,5856,1408,11486.8673,3,5796
29279,5856,1409,11486.8673,3,5796
29280,5856,1417,11508.28324,4,5796
29281,5857,1204,452.7574713,1,5797
29282,5857,1196,556.6406248,2,5797
29283,5857,1234,601.3935918,3,5797
29284,5857,1192,739.5901538,4,5797
29285,5857,1241,756.1692668,5,5797
29286,5858,1204,501.7387044,1,5798
29287,5858,1234,598.5690251,2,5798
29288,5858,1196,661.4302821,3,5798
29289,5858,1240,682.7059232,4,5798
29290,5858,1241,828.1363047,5,5798
29291,5859,1220,62.77716284,1,5799
29292,5859,1233,745.8991438,2,5799
29293,5859,1230,823.6175228,3,5799
29294,5859,1258,864.1467317,4,5799
29295,5859,1231,883.9665007,5,5799
29296,5860,1204,570.2616276,1,5800
29297,5860,1196,602.5659512,2,5800
